team_name,score,week,opponent,opponent_score
Simp Alert,124.7,Week 1,Unger the Influence,123.28
Unger the Influence,123.28,Week 1,Simp Alert,124.7
Arizona Vipers,138.88,Week 1,Wuhan Bats,98.1
Wuhan Bats,98.1,Week 1,Arizona Vipers,138.88
Show Me Your TD’s,95.0,Week 1,San Clemente  Beaters ,109.3
San Clemente  Beaters ,109.3,Week 1,Show Me Your TD’s,95.0
The Tempe Turriblez,131.72,Week 1,My Football CLUB ,152.36
My Football CLUB ,152.36,Week 1,The Tempe Turriblez,131.72
 Mighty BetaFish,120.84,Week 1,The Vaccination 🥶,110.96
The Vaccination 🥶,110.96,Week 1, Mighty BetaFish,120.84
877 CASH NOW,115.96,Week 1,Deshaun's W's,99.34
Deshaun's W's,99.34,Week 1,877 CASH NOW,115.96
Arizona Vipers,179.62,Week 2,Simp Alert,131.74
Simp Alert,131.74,Week 2,Arizona Vipers,179.62
Unger the Influence,107.4,Week 2,Show Me Your TD’s,115.46
Show Me Your TD’s,115.46,Week 2,Unger the Influence,107.4
Wuhan Bats,101.38,Week 2,San Clemente  Beaters ,126.78
San Clemente  Beaters ,126.78,Week 2,Wuhan Bats,101.38
 Mighty BetaFish,115.6,Week 2,The Tempe Turriblez,123.0
The Tempe Turriblez,123.0,Week 2, Mighty BetaFish,115.6
My Football CLUB ,101.7,Week 2,877 CASH NOW,142.16
877 CASH NOW,142.16,Week 2,My Football CLUB ,101.7
The Vaccination 🥶,145.06,Week 2,Deshaun's W's,84.08
Deshaun's W's,84.08,Week 2,The Vaccination 🥶,145.06
Simp Alert,144.4,Week 3,Show Me Your TD’s,83.58
Show Me Your TD’s,83.58,Week 3,Simp Alert,144.4
San Clemente  Beaters ,108.88,Week 3,Arizona Vipers,126.2
Arizona Vipers,126.2,Week 3,San Clemente  Beaters ,108.88
Wuhan Bats,110.52,Week 3,Unger the Influence,144.24
Unger the Influence,144.24,Week 3,Wuhan Bats,110.52
The Tempe Turriblez,118.7,Week 3,877 CASH NOW,90.94
877 CASH NOW,90.94,Week 3,The Tempe Turriblez,118.7
Deshaun's W's,131.5,Week 3, Mighty BetaFish,179.18
 Mighty BetaFish,179.18,Week 3,Deshaun's W's,131.5
The Vaccination 🥶,163.8,Week 3,My Football CLUB ,112.02
My Football CLUB ,112.02,Week 3,The Vaccination 🥶,163.8
San Clemente  Beaters ,87.0,Week 4,Simp Alert,99.32
Simp Alert,99.32,Week 4,San Clemente  Beaters ,87.0
Show Me Your TD’s,104.82,Week 4,Wuhan Bats,181.94
Wuhan Bats,181.94,Week 4,Show Me Your TD’s,104.82
Arizona Vipers,106.3,Week 4,Unger the Influence,132.52
Unger the Influence,132.52,Week 4,Arizona Vipers,106.3
Deshaun's W's,81.34,Week 4,The Tempe Turriblez,139.2
The Tempe Turriblez,139.2,Week 4,Deshaun's W's,81.34
877 CASH NOW,145.14,Week 4,The Vaccination 🥶,153.14
The Vaccination 🥶,153.14,Week 4,877 CASH NOW,145.14
 Mighty BetaFish,136.68,Week 4,My Football CLUB ,132.86
My Football CLUB ,132.86,Week 4, Mighty BetaFish,136.68
Simp Alert,106.2,Week 5,Wuhan Bats,127.12
Wuhan Bats,127.12,Week 5,Simp Alert,106.2
Unger the Influence,137.62,Week 5,San Clemente  Beaters ,131.26
San Clemente  Beaters ,131.26,Week 5,Unger the Influence,137.62
Arizona Vipers,133.58,Week 5,Show Me Your TD’s,93.9
Show Me Your TD’s,93.9,Week 5,Arizona Vipers,133.58
The Tempe Turriblez,118.36,Week 5,The Vaccination 🥶,124.12
The Vaccination 🥶,124.12,Week 5,The Tempe Turriblez,118.36
My Football CLUB ,97.52,Week 5,Deshaun's W's,120.7
Deshaun's W's,120.7,Week 5,My Football CLUB ,97.52
 Mighty BetaFish,93.84,Week 5,877 CASH NOW,146.44
877 CASH NOW,146.44,Week 5, Mighty BetaFish,93.84
The Tempe Turriblez,96.24,Week 6,Simp Alert,122.62
Simp Alert,122.62,Week 6,The Tempe Turriblez,96.24
My Football CLUB ,69.9,Week 6,Unger the Influence,149.68
Unger the Influence,149.68,Week 6,My Football CLUB ,69.9
 Mighty BetaFish,73.72,Week 6,Arizona Vipers,103.52
Arizona Vipers,103.52,Week 6, Mighty BetaFish,73.72
877 CASH NOW,78.12,Week 6,Show Me Your TD’s,134.44
Show Me Your TD’s,134.44,Week 6,877 CASH NOW,78.12
Deshaun's W's,102.8,Week 6,San Clemente  Beaters ,102.68
San Clemente  Beaters ,102.68,Week 6,Deshaun's W's,102.8
The Vaccination 🥶,75.72,Week 6,Wuhan Bats,96.84
Wuhan Bats,96.84,Week 6,The Vaccination 🥶,75.72
Unger the Influence,121.48,Week 7,The Tempe Turriblez,95.86
The Tempe Turriblez,95.86,Week 7,Unger the Influence,121.48
Arizona Vipers,108.82,Week 7,My Football CLUB ,140.58
My Football CLUB ,140.58,Week 7,Arizona Vipers,108.82
Show Me Your TD’s,151.48,Week 7, Mighty BetaFish,131.3
 Mighty BetaFish,131.3,Week 7,Show Me Your TD’s,151.48
San Clemente  Beaters ,85.52,Week 7,877 CASH NOW,70.9
877 CASH NOW,70.9,Week 7,San Clemente  Beaters ,85.52
Wuhan Bats,83.1,Week 7,Deshaun's W's,97.2
Deshaun's W's,97.2,Week 7,Wuhan Bats,83.1
Simp Alert,163.8,Week 7,The Vaccination 🥶,103.0
The Vaccination 🥶,103.0,Week 7,Simp Alert,163.8
The Tempe Turriblez,102.74,Week 8,Arizona Vipers,97.34
Arizona Vipers,97.34,Week 8,The Tempe Turriblez,102.74
My Football CLUB ,104.04,Week 8,Show Me Your TD’s,123.42
Show Me Your TD’s,123.42,Week 8,My Football CLUB ,104.04
 Mighty BetaFish,103.1,Week 8,San Clemente  Beaters ,97.92
San Clemente  Beaters ,97.92,Week 8, Mighty BetaFish,103.1
877 CASH NOW,58.32,Week 8,Wuhan Bats,95.96
Wuhan Bats,95.96,Week 8,877 CASH NOW,58.32
Deshaun's W's,129.04,Week 8,Simp Alert,117.84
Simp Alert,117.84,Week 8,Deshaun's W's,129.04
The Vaccination 🥶,149.34,Week 8,Unger the Influence,87.86
Unger the Influence,87.86,Week 8,The Vaccination 🥶,149.34
Show Me Your TD’s,130.04,Week 9,The Tempe Turriblez,130.18
The Tempe Turriblez,130.18,Week 9,Show Me Your TD’s,130.04
San Clemente  Beaters ,105.44,Week 9,My Football CLUB ,73.26
My Football CLUB ,73.26,Week 9,San Clemente  Beaters ,105.44
Wuhan Bats,113.98,Week 9, Mighty BetaFish,83.38
 Mighty BetaFish,83.38,Week 9,Wuhan Bats,113.98
Simp Alert,143.52,Week 9,877 CASH NOW,125.52
877 CASH NOW,125.52,Week 9,Simp Alert,143.52
Unger the Influence,127.8,Week 9,Deshaun's W's,87.84
Deshaun's W's,87.84,Week 9,Unger the Influence,127.8
Arizona Vipers,134.8,Week 9,The Vaccination 🥶,138.54
The Vaccination 🥶,138.54,Week 9,Arizona Vipers,134.8
The Tempe Turriblez,72.46,Week 10,San Clemente  Beaters ,75.62
San Clemente  Beaters ,75.62,Week 10,The Tempe Turriblez,72.46
My Football CLUB ,78.94,Week 10,Wuhan Bats,110.94
Wuhan Bats,110.94,Week 10,My Football CLUB ,78.94
 Mighty BetaFish,125.08,Week 10,Simp Alert,129.0
Simp Alert,129.0,Week 10, Mighty BetaFish,125.08
877 CASH NOW,108.94,Week 10,Unger the Influence,113.16
Unger the Influence,113.16,Week 10,877 CASH NOW,108.94
Deshaun's W's,86.22,Week 10,Arizona Vipers,106.82
Arizona Vipers,106.82,Week 10,Deshaun's W's,86.22
The Vaccination 🥶,103.86,Week 10,Show Me Your TD’s,135.78
Show Me Your TD’s,135.78,Week 10,The Vaccination 🥶,103.86
Wuhan Bats,132.5,Week 11,The Tempe Turriblez,120.02
The Tempe Turriblez,120.02,Week 11,Wuhan Bats,132.5
Simp Alert,154.06,Week 11,My Football CLUB ,41.24
My Football CLUB ,41.24,Week 11,Simp Alert,154.06
Unger the Influence,123.22,Week 11, Mighty BetaFish,110.24
 Mighty BetaFish,110.24,Week 11,Unger the Influence,123.22
Arizona Vipers,135.38,Week 11,877 CASH NOW,97.96
877 CASH NOW,97.96,Week 11,Arizona Vipers,135.38
Show Me Your TD’s,149.8,Week 11,Deshaun's W's,119.18
Deshaun's W's,119.18,Week 11,Show Me Your TD’s,149.8
San Clemente  Beaters ,135.2,Week 11,The Vaccination 🥶,114.92
The Vaccination 🥶,114.92,Week 11,San Clemente  Beaters ,135.2
Simp Alert,120.0,Week 12,The Tempe Turriblez,113.68
The Tempe Turriblez,113.68,Week 12,Simp Alert,120.0
Unger the Influence,126.58,Week 12,My Football CLUB ,82.0
My Football CLUB ,82.0,Week 12,Unger the Influence,126.58
Arizona Vipers,121.3,Week 12, Mighty BetaFish,98.72
 Mighty BetaFish,98.72,Week 12,Arizona Vipers,121.3
Show Me Your TD’s,133.44,Week 12,877 CASH NOW,84.94
877 CASH NOW,84.94,Week 12,Show Me Your TD’s,133.44
San Clemente  Beaters ,124.1,Week 12,Deshaun's W's,108.44
Deshaun's W's,108.44,Week 12,San Clemente  Beaters ,124.1
Wuhan Bats,117.86,Week 12,The Vaccination 🥶,121.9
The Vaccination 🥶,121.9,Week 12,Wuhan Bats,117.86
The Tempe Turriblez,120.12,Week 13,Unger the Influence,104.44
Unger the Influence,104.44,Week 13,The Tempe Turriblez,120.12
My Football CLUB ,62.5,Week 13,Arizona Vipers,110.82
Arizona Vipers,110.82,Week 13,My Football CLUB ,62.5
 Mighty BetaFish,153.24,Week 13,Show Me Your TD’s,107.06
Show Me Your TD’s,107.06,Week 13, Mighty BetaFish,153.24
877 CASH NOW,105.56,Week 13,San Clemente  Beaters ,146.06
San Clemente  Beaters ,146.06,Week 13,877 CASH NOW,105.56
Deshaun's W's,105.14,Week 13,Wuhan Bats,130.24
Wuhan Bats,130.24,Week 13,Deshaun's W's,105.14
The Vaccination 🥶,110.34,Week 13,Simp Alert,95.52
Simp Alert,95.52,Week 13,The Vaccination 🥶,110.34
Wuhan Bats,115.46,Week 14,Unger the Influence,156.92
Unger the Influence,156.92,Week 14,Wuhan Bats,115.46
San Clemente  Beaters ,127.18,Week 14,Arizona Vipers,119.64
Arizona Vipers,119.64,Week 14,San Clemente  Beaters ,127.18
The Tempe Turriblez,102.82,Week 14,Show Me Your TD’s,134.92
Show Me Your TD’s,134.92,Week 14,The Tempe Turriblez,102.82
Deshaun's W's,92.86,Week 14, Mighty BetaFish,181.08
